EnsemblID,GeneName,ID
ENSMUSG00000056629,Fkbp2,1450694_at
ENSMUSG00000037260,Hgsnat,1450868_at
ENSMUSG00000024962,Vegfb,1451803_a_at
ENSMUSG00000031174,Rpgr,1427467_a_at
ENSMUSG00000002059,Rab34,1416590_a_at
ENSMUSG00000002059,Rab34,1416591_at
ENSMUSG00000045409,Trim39,1418851_at
ENSMUSG00000021622,Ckmt2,1428722_at
ENSMUSG00000058690,Ccser2,1452223_s_at
ENSMUSG00000058690,Ccser2,1431972_a_at
ENSMUSG00000058690,Ccser2,1453240_a_at
ENSMUSG00000021708,Rasgrf2,1440918_at
ENSMUSG00000021708,Rasgrf2,1440849_at
ENSMUSG00000021708,Rasgrf2,1421621_at
ENSMUSG00000074738,Fndc10,1427230_at
ENSMUSG00000074738,Fndc10,1438635_x_at
ENSMUSG00000028680,Plk3,1434496_at
ENSMUSG00000024963,Dnajc4,1417934_at
ENSMUSG00000114133,Gm20075,1451223_a_at
ENSMUSG00000114133,Gm20075,1451222_at
ENSMUSG00000019471,Cdc37,1416819_at
ENSMUSG00000019471,Cdc37,1416820_at
ENSMUSG00000040540,Ctdsp2-ps,1423661_s_at
ENSMUSG00000040540,Ctdsp2-ps,1423660_at
ENSMUSG00000048904,Neurog1,1450836_at
ENSMUSG00000048904,Neurog1,1438551_at
ENSMUSG00000056476,Med12l,1452864_at
ENSMUSG00000056476,Med12l,1441159_at
ENSMUSG00000037326,Capn15,1427785_x_at
ENSMUSG00000037326,Capn15,1434417_at
ENSMUSG00000037326,Capn15,1450817_at
ENSMUSG00000037326,Capn15,1434416_a_at
ENSMUSG00000021508,Cxcl14,1418456_a_at
ENSMUSG00000021508,Cxcl14,1418457_at
ENSMUSG00000037349,Nudt22,1460358_s_at
ENSMUSG00000037349,Nudt22,1451329_at
ENSMUSG00000037251,Pomk,1424004_x_at
ENSMUSG00000037251,Pomk,1424003_at
ENSMUSG00000021509,Slc25a48,1448067_at
ENSMUSG00000021509,Slc25a48,1440199_at
ENSMUSG00000032098,Treh,1449430_a_at
ENSMUSG00000002948,Map2k7,1425393_a_at
ENSMUSG00000002948,Map2k7,1425512_at
ENSMUSG00000002948,Map2k7,1451736_a_at
ENSMUSG00000002948,Map2k7,1425513_at
ENSMUSG00000021538,Il9,1450565_at
ENSMUSG00000047656,Trpt1,1452615_s_at
ENSMUSG00000023051,Tarbp2,1438952_x_at
ENSMUSG00000023051,Tarbp2,1423616_at
ENSMUSG00000029038,Ssu72,1425674_a_at
ENSMUSG00000021539,Lect2,1449492_a_at
ENSMUSG00000024965,Fermt3,1433963_a_at
ENSMUSG00000024965,Fermt3,1456014_s_at
ENSMUSG00000024965,Fermt3,1433964_s_at
ENSMUSG00000047675,Rps8,1436760_a_at
ENSMUSG00000047675,Rps8,1437610_x_at
ENSMUSG00000047675,Rps8,1455319_x_at
ENSMUSG00000020366,Mapk9,1421877_at
ENSMUSG00000020366,Mapk9,1421876_at
ENSMUSG00000020366,Mapk9,1421878_at
ENSMUSG00000024448,H2-M10.1,1450587_at
ENSMUSG00000024966,Stip1,1415909_at
ENSMUSG00000064542,Gm22980,1437610_x_at
ENSMUSG00000064542,Gm22980,1455319_x_at
ENSMUSG00000065680,Snord38a,1437610_x_at
ENSMUSG00000065680,Snord38a,1455319_x_at
ENSMUSG00000092680,Snord55,1436760_a_at
ENSMUSG00000008489,Elavl2,1421882_a_at
ENSMUSG00000008489,Elavl2,1421883_at
ENSMUSG00000008489,Elavl2,1421881_a_at
ENSMUSG00000089682,Bcl2l2,1423572_at
ENSMUSG00000089682,Bcl2l2,1451029_at
ENSMUSG00000089682,Bcl2l2,1430454_x_at
ENSMUSG00000089682,Bcl2l2,1430453_a_at
ENSMUSG00000023052,Npff,1420606_at
